127.0.0.1 - - [19/May/2022:21:03:23 +0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/May/2022:21:03:31 +0400] "GET /CustomerRelationshipManagement/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:03:36 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [19/May/2022:21:07:36 +0400] "GET /CustomerRelationshipManagement/customer/showFormForUpdateCustomer?customerId=3 HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [19/May/2022:21:07:36 +0400] "GET /CustomerRelationshipManagement/resources/css/add-customer-style.css HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [19/May/2022:21:07:44 +0400] "POST /CustomerRelationshipManagement/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:07:44 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 3206
0:0:0:0:0:0:0:1 - - [19/May/2022:21:10:12 +0400] "GET /CustomerRelationshipManagement/customer/showFormForUpdateCustomer?customerId=1 HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [19/May/2022:21:10:20 +0400] "POST /CustomerRelationshipManagement/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:10:20 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 3204
0:0:0:0:0:0:0:1 - - [19/May/2022:21:10:41 +0400] "GET /CustomerRelationshipManagement/customer/showFormForAddCustomer HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [19/May/2022:21:11:00 +0400] "POST /CustomerRelationshipManagement/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:11:00 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 3616
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:01 +0400] "GET /CustomerRelationshipManagement/customer/showFormForAddCustomer HTTP/1.1" 200 1301
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:28 +0400] "POST /CustomerRelationshipManagement/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:28 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 4036
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:32 +0400] "GET /CustomerRelationshipManagement/customer/showFormForUpdateCustomer?customerId=11 HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:47 +0400] "POST /CustomerRelationshipManagement/customer/saveCustomer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/May/2022:21:19:47 +0400] "GET /CustomerRelationshipManagement/customer/list HTTP/1.1" 200 4043
